Gene_accession no.	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
blaOXA-562_1_KY126241	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumanniiCNM20081737;, curated	
blaOXA-563_1_KY767021	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter pittii NRZ-24076;, curated	
blaOXA-564_1_KY767022	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter pittii NRZ-24967;, curated	
blaOXA-565_1_KY883665	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii01ACRGNY3002;, curated	
blaOXA-566_1_MF099636	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-312_1_KF057029	Beta-lactam		24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-313_1_KF057030	Beta-lactam		24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-314_1_KF057031	Beta-lactam		24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-315_1_KF057032	Beta-lactam		24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-316_1_KF057033	Beta-lactam		24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-317_1_KF057034	Beta-lactam		24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-300_1_APPK01000054	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-228-like;Natural in Acinetobacter bereziniae NIPH 3;, curated	
blaOXA-301_1_APQG01000050	Beta-lactam	Amoxicillin, Ampicillin, Ertapenem	24277043	Enzymatic inactivation	Class D;OXA-228-like;Natural in Acinetobacter bereziniae LMG 1003 = CIP 70.12;, curated	
blaOXA-304_1_APSC01000007	Beta-lactam	Amoxicillin, Ampicillin, Ertapenem	24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter sp. NIPH 542;, curated	
blaOXA-305_1_APPF01000021	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter sp. NIPH 817;, curated	
blaOXA-280_1_APPZ01000001	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-211-like;Natural in Acinetobacter johnsonii ANC 3681;, curated	
blaOXA-281_1_APON01000041	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-211-like;Natural in Acinetobacter johnsonii CIP 64.6;, curated	
blaOXA-282_1_APQS01000019	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter lwoffii NCTC 5866 = CIP 64.10 = NIPH 512;, curated	
blaOXA-283_1_AYHO01000005	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter lwoffii NCTC 5866 = CIP 64.10 = NIPH 512;, curated	
blaOXA-284_1_APRU01000004	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter sp. CIP 51.11;, curated	
blaOXA-285_1_APRY01000059	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter sp. CIP 64.7;, curated	
blaOXA-276_1_APPI01000013	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter schindleri NIPH 900;, curated	
blaOXA-277_1_APPQ01000011	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter schindleri CIP 107287;, curated	
blaOXA-267_1_APQH01000006	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus ANC 3680;, curated	
blaOXA-268_1_APOE01000008	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus NIPH 13;, curated	
blaOXA-269_1_APQJ01000007	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus ANC 3811;, curated	
blaOXA-270_1_APQM01000006	Beta-lactam	Amoxicillin, Ampicillin	24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter pittii ANC 4050;, curated	
blaOXA-271_1_APQO01000006	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter pittii ANC 4052;, curated	
blaOXA-272_1_LSAL01000001	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter pittii;, curated	
blaOXA-273_1_APQN01000012	Beta-lactam	Amoxicillin, Ampicillin	24277043	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter pittii ANC 3678;, curated	
blaOXA-246_1_EU886980	Beta-lactam	Amoxicillin, Ampicillin	24398232	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-252_1_NG_050608	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-48-like;Natural in Shewanella sp. ZOR0012;, curated	
blaOXA-259_1_KF057028	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-260_1_APOR01000009	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii NIPH 1362;, curated	
blaOXA-261_1_APQV01000009	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii NIPH 201;, curated	
blaOXA-262_1_APRA01000005	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii NIPH 67;, curated	
blaOXA-263_1_APQY01000006	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii NIPH 329;, curated	
blaOXA-264_1_APQQ01000012	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-214-like;Natural in Acinetobacter haemolyticus CIP 64.3;, curated	
blaOXA-265_1_APQR01000003	Beta-lactam		24277043	Enzymatic inactivation	Class D;OXA-214-like;Natural in Acinetobacter haemolyticus NIPH 261;, curated	
blaOXA-193_1_CP013032	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter coli;Alternative name CJ0299;, curated	
blaOXA-102_1_NZ_LWGP01000001	Beta-lactam	Ertapenem, Imipenem	18195058	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-103_1_APQF01000011	Beta-lactam	Ertapenem, Imipenem	18195058	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaZ_13_KF471116	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_14_JBAG01000015	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_15_JAZQ01000018	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_16_JBTH01000015	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_17_JDDF01000008	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_18_JBQW01000016	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_19_JBMK01000007	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_20_JBVX01000014	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_21_JGQH01000014	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_22_JCHI01000035	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_23_JBND01000015	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_24_JBLQ01000018	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_25_JBKK01000017	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_26_JBJP01000007	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_27_JDGZ01000043	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_28_JDYO01000009	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_29_JDXN01000019	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_30_JGUQ01000012	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_31_JIFU01000008	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_32_JINH01000005	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_33_JIXQ01000012	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_34_JJAO01000008	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_35_JIVZ01000012	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_36_JITV01000006	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_37_JIFD01000012	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_38_NZ_JEMM01000040	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_39_JHTU01000073	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_40_NZ_AZBT01000050	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	24359724	Enzymatic inactivation	Class A, curated	
blaZ_42_CCEE01000006	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_43_NZ_CAVU010000015	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_44_NZ_JWJJ01000015	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_45_CP010941	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26227599	Enzymatic inactivation	Class A, curated	
blaZ_46_CP010944	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26227599	Enzymatic inactivation	Class A, curated	
blaZ_47_NZ_JYGF01000020	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26950323	Enzymatic inactivation	Class A, curated	
blaZ_48_CFPA01000022	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_49_CVLS01000543	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_50_KR230047	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_51_NZ_JVWO01000108	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_52_NZ_JVWM01000127	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_53_NZ_JUXQ01000001	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_54_NZ_JVRB01000003	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_55_NZ_JVLY01000044	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_56_NZ_JUMU01000089	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_57_NZ_JURP01000126	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_58_NZ_JUUA01000057	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_59_NZ_JVBT01000063	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_60_NZ_JVML01000111	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_61_NZ_JVAT01000021	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_62_NZ_JVOH01000023	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_63_NZ_JUMX01000103	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26230489	Enzymatic inactivation	Class A, curated	
blaZ_64_CSJB01000017	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_65_CSEV01000005	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_66_CSGM01000014	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_67_NZ_CTTL01000039	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_68_NZ_CUHK01000055	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_69_NZ_CUHB01000033	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_70_NZ_CUEK01000047	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_71_NZ_CUGR01000082	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_72_NZ_CUHG01000035	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_73_CYNA01000004	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_74_CZWI01000159	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_75_LNTF01000008	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_76_FFOR01000002	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_77_FGNH01000009	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_78_KU607301	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	27572443	Enzymatic inactivation	Class A, curated	
blaZ_79_KU607584	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	27572443	Enzymatic inactivation	Class A, curated	
blaZ_80_KU607855	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	27572443	Enzymatic inactivation	Class A, curated	
blaZ_81_FGJZ01000020	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_82_FGSJ01000003	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_83_FGWO01000019	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_84_FHDH01000010	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_85_NZ_FHDT01000016	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_87_NZ_LRNC01000042	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	26931384	Enzymatic inactivation	Class A, curated	
blaZ_88_FKTX01000011	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_89_FKPS01000007	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_90_FKVU01000010	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_91_FKQH01000022	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_92_FKWG01000001	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_93_FKQA01000038	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_94_LYRW01000005	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_95_MAJJ01000071	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_96_LNDI01000019	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_97_FMOK01000003	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_98_LTEF01000041	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_99_LTNH01000008	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_100_LTMH01000008	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_101_LTLP01000099	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_102_MLQA01000023	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_103_FQSJ01000009	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_104_FQHI01000006	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_105_FQJS01000007	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_106_FQHX01000011	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_107_FQDM01000011	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_108_FQPO01000005	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_41_AENR01000015	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	21317317	Enzymatic inactivation	Class A, curated	
blaZ_86_AIZE01000023	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_109_AOAS01000022	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_110_AJCZ01000013	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_111_AJCN01000010	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_112_AKGL01000044	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_113_AHVS01000008	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_114_NC_013379	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_115_FN433596	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	19948800	Enzymatic inactivation	Class A, curated	
blaZ_116_NC_013348	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_117_ACHE01000004	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_118_NC_004461	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	12950922	Enzymatic inactivation	Class A, curated	
blaZ_119_NZ_CANQ01000029	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	21539624	Enzymatic inactivation	Class A, curated	
blaZ_120_NZ_ALWG01000005	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_121_AIWM01000014	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_122_NZ_AJGE01000057	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	22740659	Enzymatic inactivation	Class A, curated	
blaZ_123_NC_013653	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	20211895	Enzymatic inactivation	Class A, curated	
blaZ_124_NC_013944	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	20493903	Enzymatic inactivation	Class A, curated	
blaZ_125_CP003194	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	22374956	Enzymatic inactivation	Class A, curated	
blaZ_126_NC_013374	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_127_ACFR01000018	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_128_GQ900471	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_129_CP003194	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	22374956	Enzymatic inactivation	Class A, curated	
blaZ_130_AHKZ01000073	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_131_GQ900485	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_132_AHVO01000010	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_133_AIDT01000014	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	22375071	Enzymatic inactivation	Class A, curated	
blaZ_134_NZ_AJGE01000047	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	22740659	Enzymatic inactivation	Class A, curated	
blaZ_135_AB811795	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_136_NZ_ALWE01000009	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	23544121	Enzymatic inactivation	Class A, curated	
blaZ_137_GQ915265	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	unpublished	Enzymatic inactivation	Class A, curated	
blaZ_138_CP003979	Beta-lactam	Amoxicillin, Ampicillin, Penicillin, Piperacillin	23977354	Enzymatic inactivation	Class A, curated	
blaVIM-46_1_KP749829	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaVIM-45_1_KP681695	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaVIM-44_1_KP681696	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaVIM-43_1_KP096412	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaVIM-42_1_KP071470	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaVIM-41_1_KP771862	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
